Ign,Team,ACS,Matches,Rnd,K_D,KAST,ADR,KPR,APR,FKPR,FDPR,HSPercent,CLPercent,KMax,K,D,A,FK,FD,Kill_Participation
Dawn,WYLDE,0.4451612903225806,14,292,0.4895833333333332,0.0056666666666666645,0.5216191352345907,0.4833333333333335,0.3958333333333333,0.1428571428571428,0.16,0.007105263157894737,0.002127659574468084,24,198,211,78,14,13,0.9452054794520548
Newzera,WYLDE,0.4451612903225806,14,292,0.5208333333333334,0.005999999999999997,0.4572217111315548,0.45,0.2708333333333332,0.1428571428571428,0.24,0.007894736842105262,0.001276595744680851,23,194,200,61,14,18,0.8732876712328768
l0udly,Arctic Gaming,0.4451612903225806,12,275,0.3749999999999999,0.005,0.5676172953081877,0.3333333333333332,0.6249999999999999,0.1904761904761904,0.48,0.0044736842105263155,0.001276595744680851,23,162,196,105,16,32,0.9709090909090909
Theia,Fenerbah̤e Esports,0.4451612903225806,8,183,0.3125,0.0029999999999999983,0.5538178472861086,0.3666666666666666,0.2083333333333333,0.4761904761904761,0.8,0.003421052631578947,0.004042553191489362,23,112,145,33,22,36,0.7923497267759563
Vbbooy,Valar Morghulis,0.432258064516129,14,314,0.3541666666666667,0.004333333333333331,0.4793008279668813,0.3666666666666666,0.4583333333333332,0.3333333333333333,0.4,0.003157894736842105,0.001489361702127659,21,193,238,95,27,32,0.9171974522292994
NRK,Valar Morghulis,0.432258064516129,14,314,0.4062499999999999,0.005333333333333332,0.5041398344066239,0.4166666666666666,0.3125,0.4761904761904761,0.56,0.005263157894736842,0.0,27,200,233,72,37,44,0.8662420382165605
M4CHINA,Tundra Esports,0.432258064516129,25,533,0.5312500000000001,0.0056666666666666645,0.5087396504139836,0.4333333333333334,0.4583333333333332,0.2380952380952381,0.36,0.00631578947368421,0.000212765957446808,22,349,357,161,36,46,0.9568480300187617
SEIDER,Alliance,0.432258064516129,23,483,0.6145833333333334,0.005999999999999997,0.4829806807727692,0.4833333333333335,0.5208333333333333,0.3333333333333333,0.36,0.007631578947368421,0.003829787234042552,24,329,309,161,43,45,1.0144927536231885
Jakexd,Team Heretics,0.432258064516129,6,128,0.3854166666666666,0.003666666666666667,0.517939282428703,0.4,0.4583333333333332,0.5238095238095238,0.36,0.006578947368421052,0.002631366860090264,20,81,97,39,16,12,0.9375
RECIDENT,Team Finest,0.4258064516129033,19,411,0.5104166666666666,0.005999999999999997,0.5234590616375348,0.45,0.3958333333333333,0.1428571428571428,0.24,0.008157894736842105,0.002127659574468084,25,272,284,110,22,25,0.9294403892944039
